,product,measure,month,cost
414,Aпельсины,1 кг,июнь,71.88
415,Лимоны,1 кг,июнь,92.12
416,Дыни,1 кг,июнь,30.77
417,Aрбузы,1 кг,июнь,20.02
418,Виноград сушеный,1 кг,июнь,46.34
419,Яблоки сушеные,1 кг,июнь,16.54
420,Курага,1 кг,июнь,56.17
421,Орехи грецкие,1 кг,июнь,49.31
422,Капуста свежая,1 кг,июнь,6.56
423,Лук репчатый,1 кг,июнь,11.37
424,Свекла,1 кг,июнь,15.32
425,Морковь,1 кг,июнь,16.97
426,Огурцы свежие,1 кг,июнь,16.71
427,Тыква,1 кг,июнь,7.79
428,Лук зеленый,1 кг,июнь,14.3
429,Помидоры свежие,1 кг,июнь,30.63
430,"Редиска, редька",1 кг,июнь,7.86
431,Баклажаны,1 кг,июнь,38.88
432,Горох,1 кг,июнь,19.05
433,Чеснок,1 кг,июнь,45.51
434,Томатная паста,1 кг,июнь,42.52
435,Картофель,1 кг,июнь,10.48
436,Сахар-песок,1 кг,июнь,23.55
437,Мед пчелиный натуральный,1 кг,июнь,93.93
438,Соль,1 кг,июнь,4.68
439,Майонез,1 кг,июнь,78.17
440,Дрожжи,50 гр.,июнь,8.05
441,Кофе натуральный растворимый,100 гр.,июнь,61.72
442,Чай черный байховый,100 гр.,июнь,19.59
443,Вода минеральная,"0,5 л.",июнь,5.08
444,Водка крепостью 40 градусов,"0,5 л.",июнь,33.79
445,Коньяк отечественный,"0,5 л.",июнь,116.27
446,Вино игристое отечественное,"0,7 л.",июнь,91.22
447,Сигареты с фильтром,1 пачка,июнь,21.67
448,Цемент,50 кг,июнь,90.14
449,"Электроэнергия, основной тариф",1 кВт. час,июнь,0.62
450,Природный газ,за 1 человека в месяц,июнь,34.69
451,Сжиженный газ ,1 кг,июнь,13.76
452,Уголь,1 тонна,июнь,986.15
453,Бензин автомобильной марки А-92,1 литр,июнь,14.03
454,Бензин автомобильной марки А-80,1 литр,июнь,11.06
455,Дизельное топливо,1 литр,июнь,9.77
456,Рис среднезерный,1 кг,июль,23.19
457,Рис длиннозерный,1 кг,июль,24.94
458,Мука пшеничная высшего сорта,1 кг,июль,13.09
459,Мука пшеничная первого сорта,1 кг,июль,10.04
460,Крупа манная,1 кг,июль,19.95
461,Пшено,1 кг,июль,18.8
462,Хлеб из пшеничной муки 1 сорта,1 кг,июль,12.6
463,Лепешка,1 кг,июль,13.78
464,Макаронные изделия,1 кг,июль,18.92
465,"Вермишель, лапша",1 кг,июль,14.83
466,Говядина,1 кг,июль,87.56
467,Свинина,1 кг,июль,88.71
468,Баранина,1 кг,июль,109.61
469,Конина,1 кг,июль,86.66
470,Колбаса вареная,1 кг,июль,106.66
471,Колбаса полукопченая,1 кг,июль,121.43
