product,measure,year,month,cost
Крупа манная,1 кг,2003,август,19.93
Пшено,1 кг,2003,август,20.51
Хлеб из пшеничной муки 1 сорта,1 кг,2003,август,12.6
Лепешка,1 кг,2003,август,13.73
Макаронные изделия,1 кг,2003,август,18.93
"Вермишель, лапша",1 кг,2003,август,14.83
Говядина,1 кг,2003,август,90.66
Свинина,1 кг,2003,август,85.98
Баранина,1 кг,2003,август,108.23
Конина,1 кг,2003,август,87.78
Колбаса вареная,1 кг,2003,август,106.82
Колбаса полукопченая,1 кг,2003,август,121.47
"Сосиски, сардельки",1 кг,2003,август,104.67
Рыба свежая и охлажденная,1 кг,2003,август,54.41
Рыба замороженная неразделанная,1 кг,2003,август,64.67
Сельдь соленая,1 кг,2003,август,71.45
"Кефир, айран",1 литр,2003,август,14.82
Сметана,1 литр,2003,август,66.75
Сливки,1 литр,2003,август,37.74
Творог жирный,1 кг,2003,август,37.44
Творог нежирный,1 кг,2003,август,20.2
Яйца куриные,10 штук,2003,август,24.13
Масло сливочное,1 кг,2003,август,140.5
Хлопковое масло,1 кг,2003,август,50.54
Подсолнечное масло,1 кг,2003,август,57.5
Яблоки,1 кг,2003,август,17.39
Aбрикосы,1 кг,2003,август,17.73
"Клубника, малина",1 кг,2003,август,35.5
Вишня,1 кг,2003,август,46.04
Виноград свежий,1 кг,2003,август,33.35
Aпельсины,1 кг,2003,август,71.67
Лимоны,1 кг,2003,август,79.47
Дыни,1 кг,2003,август,8.12
Aрбузы,1 кг,2003,август,2.89
Виноград сушеный,1 кг,2003,август,46.59
Яблоки сушеные,1 кг,2003,август,16.32
Курага,1 кг,2003,август,58.58
Орехи грецкие,1 кг,2003,август,50.39
Капуста свежая,1 кг,2003,август,3.65
Лук репчатый,1 кг,2003,август,4.83
Свекла,1 кг,2003,август,9.81
Морковь,1 кг,2003,август,7.84
Огурцы свежие,1 кг,2003,август,4.63
Тыква,1 кг,2003,август,7.5
Лук зеленый,1 кг,2003,август,13.63
Помидоры свежие,1 кг,2003,август,6.8
"Редиска, редька",1 кг,2003,август,7.23
Баклажаны,1 кг,2003,август,5.04
